"1725942291-181","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Kansas City, MO-KS","62.4%","69.1%"
"1725942291-182","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Kennewick-Richland, WA","58.4%","71.2%"
"1725942291-183","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Killeen-Temple, TX","39.5%","49.2%"
"1725942291-184","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Kingsport-Bristol, TN-VA","51.4%","59.4%"
"1725942291-185","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Kingston, NY","59.7%","67.4%"
"1725942291-186","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Knoxville, TN","50.9%","60.6%"
"1725942291-187","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Kokomo, IN","58.6%","63.9%"
"1725942291-188","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","La Crosse-Onalaska, WI-MN","67.9%","71.8%"
"1725942291-189","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Lafayette, LA","60.6%","65.2%"
"1725942291-190","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Lafayette-West Lafayette, IN","48.1%","55.6%"
"1725942291-191","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Lake Charles, LA","57.3%","54.3%"
"1725942291-192","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Lake Havasu City-Kingman, AZ","48.7%","61.7%"
"1725942291-193","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Lakeland-Winter Haven, FL","58.7%","66.1%"
